日期,开盘价,最高价,最低价,收盘价,成交量
2006/1/2,4731.92,4757.54,4727.09,4754.92,35923200
2006/1/3,4761.95,4803.23,4755.72,4776.98,93725384
2006/1/4,4820.9,4838.52,4799.19,4838.52,112403312
2006/1/5,4839.09,4849.67,4826.31,4835.09,107184392
2006/1/6,4843.16,4867.15,4839.75,4867.15,111674240
2006/1/9,4875.12,4886.19,4870.93,4875.09,116860104
2006/1/10,4868.9,4868.9,4838.48,4861.93,114865768
2006/1/11,4893.75,4897.58,4866.76,4890.49,102499080
2006/1/12,4875.88,4898.05,4872.52,4890.24,182529168
2006/1/13,4876.41,4876.41,4834.24,4850.53,133881688
2006/1/16,4844.13,4864.76,4844.13,4856.09,71310216
2006/1/17,4829.33,4829.33,4803.44,4807.14,112012840
2006/1/18,4748.72,4792.07,4730.38,4772.09,157453984
2006/1/19,4798.33,4815.81,4790.77,4814.09,111811768
2006/1/20,4828.71,4841.42,4773.48,4773.48,117347048
2006/1/23,4725,4754.78,4719.33,4751.99,114812744
2006/1/24,4758.93,4766.52,4739.76,4748.32,109663064
2006/1/25,4766.61,4794.22,4758.06,4791,121893160
2006/1/26,4801.84,4876.52,4800.21,4876.52,147786880
2006/1/27,4938.77,4956.6,4907.48,4956.6,198721360
2006/1/30,4945.83,4954.96,4934.62,4936.79,117194272
2006/1/31,4943.46,4970.21,4930.18,4947.99,121921520
2006/2/1,4946.77,5000,4936.59,4999.39,126147632
2006/2/2,5000.95,5012.38,4927.89,4927.89,176052560
2006/2/3,4945.38,4955.94,4905.63,4937.56,127846784
2006/2/6,4949.84,4960.67,4919.9,4934.59,108205848
2006/2/7,4951.99,4958.51,4906.36,4935.4,135643200
2006/2/8,4893.15,4909.68,4875.8,4895.08,125630096
2006/2/9,4925.71,4958.79,4921.6,4955.74,117139856
2006/2/10,4940.05,4963.69,4910.82,4910.82,98773200
2006/2/13,4916.36,4957.36,4898.96,4957.36,104654800
2006/2/14,4964.57,4975.41,4928.11,4961.34,129684864
2006/2/15,4957.12,4958.31,4922.81,4934.09,113478968
2006/2/16,4959.7,4973.89,4938.37,4973.09,97543304
2006/2/17,4975.73,5003.39,4965.57,5000,98496416
2006/2/20,4981.31,4985.66,4971.25,4979.94,60892276
2006/2/21,4997.94,5024.51,4974.51,4991.93,124168664
2006/2/22,4984.97,5041.6,4984.12,5041.6,120587872
2006/2/23,5051.77,5060.27,5020.04,5040.39,147666048
2006/2/24,5051.63,5073.95,5036.17,5073.95,103085848
2006/2/27,5082.13,5085.2,5058.09,5080.52,140426064
2006/2/28,5084.62,5084.62,4998.13,5000.45,152498560
2006/3/1,5008.71,5059.03,5006,5057.61,132999560
2006/3/2,5069.76,5077.58,4990.48,5009.09,139674912
2006/3/3,5012.94,5030.36,4966.71,4989.15,133243792
2006/3/6,5025.72,5037.05,5010.72,5010.72,129514808
2006/3/7,4989.93,4996.69,4968.72,4992.21,123853224
2006/3/8,5000.99,5005.88,4927.59,4969.51,149103632
2006/3/9,5007.96,5012.42,4981.05,5007.84,133724480
2006/3/10,4993.91,5069.27,4986.92,5069.27,117575400
2006/3/13,5094.23,5112.7,5085.74,5107.47,99056184
2006/3/14,5095.24,5117.16,5088.12,5117.16,109949800
2006/3/15,5131.04,5141.55,5119.61,5127.93,121084256
2006/3/16,5130.54,5136.64,5105.62,5126.01,110241592
2006/3/17,5133.09,5171.38,5124.75,5141.08,165232816
2006/3/20,5161.21,5174.14,5131.31,5138.51,96421352
2006/3/21,5136.92,5148.56,5098.38,5148.56,119449392
2006/3/22,5142.47,5201.28,5132.95,5194.78,181240160
2006/3/23,5204.68,5205.61,5179.66,5194.78,132080992
2006/3/24,5198.27,5226.37,5194.2,5218.71,152767568
2006/3/27,5212.39,5218.85,5162.07,5162.44,93517920
2006/3/28,5170.97,5189.94,5134.34,5149.99,104814704
2006/3/29,5144.12,5189.62,5143.66,5180.25,85148552
2006/3/30,5204.91,5246.74,5203.36,5240.1,117118048
2006/3/31,5227.05,5247.31,5211.07,5220.85,105697688
2006/4/3,5251.56,5258.51,5231.1,5255.26,124339744
2006/4/4,5241.71,5241.71,5203.91,5205.81,116863576
2006/4/5,5214.44,5230.87,5187.33,5221.03,120031120
2006/4/6,5232.41,5245.56,5200.46,5222.36,116226144
2006/4/7,5221.84,5241,5174.96,5174.96,114764816
2006/4/10,5170.05,5190.87,5155.83,5190.27,84386592
2006/4/11,5189.19,5197.41,5106.18,5112.6,126835568
2006/4/12,5106.48,5110.8,5058.35,5085.11,121816912
2006/4/13,5097.78,5109.61,5069.47,5102.62,82467152
2006/4/18,5097.56,5101.93,5073.51,5095.97,82229432
2006/4/19,5150.39,5172.59,5125.57,5158.14,108721880
2006/4/20,5158.24,5227.13,5158.24,5206.79,121195088
2006/4/21,5223.83,5252.38,5221.56,5252.38,109810256
2006/4/24,5227.7,5239.38,5219.27,5221.44,87310048
2006/4/25,5238.64,5255.15,5227.94,5235.34,103482584
2006/4/26,5244.47,5261.6,5241.99,5252.32,104366768
2006/4/27,5257.76,5257.76,5169.98,5213.55,169404896
2006/4/28,5211.14,5219.07,5184.27,5188.4,116765464
2006/5/2,5187.34,5249.47,5185.68,5241.19,116350632
2006/5/3,5260.57,5267.51,5193.94,5193.94,134599872
2006/5/4,5198.12,5241.49,5187.72,5233.7,98372048
2006/5/5,5244.21,5287.24,5237.52,5286.4,105246544
2006/5/8,5297.5,5315.03,5277.31,5282.4,85184976
2006/5/9,5292.29,5312.18,5272.82,5312.18,111713520
2006/5/10,5285.15,5310.65,5276.46,5278.27,126916152
2006/5/11,5284.06,5329.16,5259.12,5262.94,201171024
2006/5/12,5226.81,5238.4,5150.45,5150.45,212419136
2006/5/15,5130.53,5137.43,5052.8,5064.85,187040304
2006/5/16,5065.49,5100.71,5042.22,5081.69,150327104
2006/5/17,5103.58,5110.2,4920.31,4920.31,181139696
2006/5/18,4922.31,4959.81,4841.77,4908.69,199370576
2006/5/19,4933.73,4964.84,4906.74,4944.57,179287088
2006/5/22,4934.11,4934.11,4798.81,4813.5,183981856
2006/5/23,4847.52,4963.1,4847.52,4931.53,196174784
2006/5/24,4892.71,4908.77,4822.6,4870.02,150904864
2006/5/25,4878.51,4949.53,4840.58,4949.53,97131224
2006/5/26,4993.01,5045.09,4970.08,5045.09,162757472
2006/5/29,5022.86,5026.36,5009.17,5015.32,48839560
