日期,开盘价,最高价,最低价,收盘价,成交量
2006/1/4,926.559,941.428,926.412,941.428,2112689900
2006/1/5,943.85,959.625,942.308,959.134,2731174300
2006/1/6,961.915,975.628,956.04,970.032,3028636800
2006/1/9,971.089,976.273,966.053,975.253,2432955200
2006/1/10,975.282,978.277,964.43,978.154,2273530200
2006/1/11,977.644,983.39,963.394,973.477,2652413800
2006/1/12,972.389,984.076,968.538,983.716,2189668000
2006/1/13,985.039,988.111,973.685,978.809,2228186100
2006/1/16,977.886,977.886,960.879,961.439,2030521500
2006/1/17,959.395,965.984,952.234,964.29,1603727600
2006/1/18,964.16,984.672,963.077,983.622,2082351800
2006/1/19,985.232,992.272,978.278,991.222,2645560900
2006/1/20,991.572,994.5,987.06,993.34,2614706200
2006/1/23,993.744,997.332,989.342,996.162,2254601900
2006/1/24,997.791,1006.146,993.394,999.093,2419799100
2006/1/25,998.828,1009.648,989.514,1009.597,2180075800
2006/2/6,1013.425,1033.354,1012.807,1033.234,2503877100
2006/2/7,1034.678,1038.501,1019.936,1029.937,3295478700
2006/2/8,1028.445,1033.399,1022.937,1033.072,2698672900
2006/2/9,1033.192,1033.192,1017.047,1019.599,2383960100
2006/2/10,1019.416,1032.598,1018.482,1032.337,2202445300
2006/2/13,1034.381,1034.642,1021.839,1031.614,2215729800
2006/2/14,1032.645,1038.81,1030.461,1038.531,1855622000
2006/2/15,1040.332,1048.344,1038.744,1041.66,2478462800
2006/2/16,1041.665,1041.665,1019.21,1020.121,2615989200
2006/2/17,1020.063,1028.574,1015.992,1020.368,2102687500
2006/2/20,1020.74,1030.052,1020.015,1021.639,1881888300
2006/2/21,1020.977,1038.937,1014.663,1038.816,2367803900
2006/2/22,1039.649,1046.45,1036.38,1037.885,2538070400
2006/2/23,1038.253,1041.592,1029.248,1041.373,1978503700
2006/2/24,1041.97,1049.688,1041.97,1049.444,1967610400
2006/2/27,1055.947,1057.223,1045.967,1047.845,2287209900
2006/2/28,1046.713,1053.72,1033.661,1053.01,1935326700
2006/3/1,1051.759,1057.693,1049.642,1056.619,1942573000
2006/3/2,1055.858,1056.053,1034.68,1038.666,2487786100
2006/3/3,1037.988,1043.422,1029.561,1041.677,2120053900
2006/3/6,1041.659,1044.417,1036.108,1038.873,1787096300
2006/3/7,1037.928,1037.976,1013.142,1014.973,1933651600
2006/3/8,1012.578,1014.965,999.931,1009.271,1746305500
2006/3/9,1006.965,1010.91,1002.196,1004.344,1273509900
2006/3/10,1004.747,1011.762,1004.688,1008.897,1188798300
2006/3/13,1008.803,1020.876,1008.513,1019.864,1176591100
2006/3/14,1020.468,1021.651,1012.112,1018.272,1134803000
2006/3/15,1018.154,1028.965,1017.081,1028.958,1484206800
2006/3/16,1028.96,1029.805,1025.523,1027.616,1478433900
2006/3/17,1027.637,1029.559,1021.081,1024.015,1500192400
2006/3/20,1024.502,1037.908,1019.647,1037.659,1538991200
2006/3/21,1037.949,1047.051,1036.235,1040.757,1907766200
2006/3/22,1041.138,1047.939,1036.706,1047.666,1864057500
2006/3/23,1047.349,1049.325,1042.825,1048.537,2046788500
2006/3/24,1049.122,1051.757,1041.231,1042.601,2009823700
2006/3/27,1042.629,1050.707,1037.076,1050.707,1713407000
2006/3/28,1050.068,1056.516,1048.636,1055.982,2227399900
2006/3/29,1058.738,1074.038,1057.678,1065.294,3052634500
2006/3/30,1065.843,1067.99,1055.137,1055.634,2201249400
2006/3/31,1053.854,1061.473,1050.222,1061.088,2227619000
2006/4/3,1061.962,1079.366,1061.962,1079.322,2772976100
2006/4/4,1080.857,1089.371,1076.198,1089.371,3114875700
2006/4/5,1091.175,1100.558,1089.549,1099.97,3293691400
2006/4/6,1102.543,1109.683,1097.316,1103.237,3616704900
2006/4/7,1102.944,1105.104,1091.894,1103.154,3257086000
2006/4/10,1104.321,1118.082,1100.69,1117.91,3206752000
2006/4/11,1120.163,1126.089,1112.007,1123.308,3560752000
2006/4/12,1123.782,1123.782,1116.149,1117.073,3033384500
2006/4/13,1116.837,1122.394,1093.508,1093.925,3382414600
2006/4/14,1091.689,1118.665,1091.673,1118.607,3352796200
2006/4/17,1120.186,1129.154,1114.527,1124.414,3570454800
2006/4/18,1127.506,1135.448,1119.271,1131.281,3231722300
2006/4/19,1135.614,1140.407,1125.204,1138.241,3432289800
2006/4/20,1139.642,1142.538,1127.09,1134.381,3788565100
2006/4/21,1133.205,1152.888,1127.648,1149.158,4077291000
2006/4/24,1156.908,1160.579,1135.751,1142.698,4593621900
2006/4/25,1139.495,1149.544,1123.099,1141.93,3861112500
2006/4/26,1142.902,1162.021,1142.074,1155.726,4182430100
2006/4/27,1157.379,1159.898,1145.26,1155.268,3198045100
2006/4/28,1143.587,1173.88,1133.193,1172.347,4080185800
2006/5/8,1179.581,1218.859,1179.581,1218.445,4491282100
2006/5/9,1226.315,1252.759,1222.679,1251.611,5599386100
2006/5/10,1257.984,1273.684,1243.472,1265.933,5566704300
2006/5/11,1267.219,1294.868,1254.348,1255.035,6113372500
2006/5/12,1255.234,1296.379,1252.677,1296.257,5492033100
2006/5/15,1312.137,1352.412,1301.797,1352.155,7353400500
2006/5/16,1368.134,1387.397,1322.136,1331.127,7965817000
2006/5/17,1331.686,1356.132,1306.871,1335.523,6182328700
2006/5/18,1322.652,1340.523,1301.109,1331.201,5205636300
2006/5/19,1334.069,1371.222,1329.317,1366.097,6712386900
2006/5/22,1366.316,1387.571,1360.348,1373.674,6626217200
2006/5/23,1365.1,1365.1,1316.549,1317.654,5687238800
2006/5/24,1325.683,1351.308,1277.332,1308.242,5117663200
2006/5/25,1304.695,1316.475,1285.728,1307.697,3404643600
2006/5/26,1312.236,1331.452,1309.46,1331.02,3638566500
2006/5/29,1339.896,1366.843,1330.628,1366.292,4448001100
2006/5/30,1375.298,1384.684,1360.548,1378.756,4476102700
2006/5/31,1377.449,1386.942,1355.007,1365.451,4733588300
2006/6/1,1364.178,1403.265,1362.936,1402.879,5349345300
2006/6/2,1406.617,1411.78,1382.004,1390.116,6410916200
2006/6/5,1391.461,1403.304,1362.723,1403.163,5510181900
2006/6/6,1400.267,1413.108,1391.895,1399.142,4683527800
2006/6/7,1398.184,1398.184,1319.698,1320.233,5204764700
2006/6/8,1309.07,1331.885,1286.899,1325.979,4567750900
2006/6/9,1320.813,1329.835,1293.046,1294.185,3739262300
2006/6/12,1283.827,1308.121,1275.399,1297.67,2503333100
2006/6/13,1296.408,1312.132,1284.62,1298.276,2782303100
2006/6/14,1291.69,1291.69,1269.516,1283.88,2880166100
2006/6/15,1283.721,1300.111,1280.501,1285.385,2324130200
2006/6/16,1290.003,1318.019,1290.003,1318.01,2840803200
2006/6/19,1306.263,1341.99,1294.904,1334.893,3072625800
2006/6/20,1333.619,1341.244,1323.784,1338.223,2779705800
2006/6/21,1336.842,1347.002,1320.411,1333.532,3244547900
2006/6/22,1331.926,1341.73,1326.146,1331.553,2595315700
2006/6/23,1329.106,1340.266,1319.506,1339.446,2565164400
2006/6/26,1341.609,1363.569,1341.609,1363.413,2959592000
2006/6/27,1365.043,1368.411,1354.088,1363.896,2645473400
2006/6/28,1361.792,1366.338,1353.633,1362.885,2579165700
2006/6/29,1365.252,1395.243,1365.252,1395.124,4243920100
2006/6/30,1402.595,1408.791,1384.991,1393.963,3839674500
2006/7/3,1398.736,1420.328,1393.923,1420.328,3829738500
2006/7/4,1423.078,1426.098,1401.148,1411.013,4274980300
2006/7/5,1409.901,1409.901,1377.22,1393.009,3344600500
2006/7/6,1391.638,1418.76,1390.193,1418.675,3248073400
2006/7/7,1423.718,1426.397,1405.989,1410.429,3355617600
2006/7/10,1410.496,1413.576,1397.441,1412.124,2760736900
2006/7/11,1414.136,1418.816,1406.496,1418.575,2853737900
2006/7/12,1419.073,1430.944,1416.739,1419.199,3629341700
2006/7/13,1415.875,1418.135,1344.155,1346.088,4897067300
2006/7/14,1333.743,1367.743,1327.587,1357.129,3265910500
2006/7/17,1354.137,1372.254,1348.432,1372.254,2420555200
2006/7/18,1370.896,1373.588,1359.909,1373.416,2272454400
2006/7/19,1370.287,1370.287,1330.284,1336.644,2522764700
2006/7/20,1335.412,1346.848,1329.176,1345.194,1845062100
2006/7/21,1344.601,1357.341,1344.57,1356.033,2039364800
2006/7/24,1340.279,1359.558,1327.901,1358.122,1996619000
2006/7/25,1359.323,1378.843,1359.323,1374.17,2202350900
2006/7/26,1377.784,1380.796,1367.046,1371.295,1963344200
2006/7/27,1370.749,1379.253,1347.285,1355.545,2381875500
2006/7/28,1354.919,1359.744,1327.663,1341.393,2155750500
2006/7/31,1338.039,1338.039,1293.531,1294.328,2218121100
2006/8/1,1292.709,1302.889,1278.544,1282.057,1744388700
2006/8/2,1281.889,1288.612,1258.008,1275.088,1781328400
2006/8/3,1277.632,1281.79,1261.695,1271.744,1294047300
2006/8/4,1272.362,1278.246,1239.384,1241.908,1605362800
2006/8/7,1233.488,1241.849,1221.989,1224.102,1511651900
2006/8/8,1225.04,1252.386,1225.04,1252.386,1425048100
2006/8/9,1254.374,1258.206,1245.388,1251.298,1285947400
2006/8/10,1251.163,1271.473,1251.081,1271.473,1769900600
2006/8/11,1273.266,1277.968,1265.52,1275.654,1530322700
2006/8/14,1275.139,1279.308,1241.954,1245.721,1644446900
2006/8/15,1243.16,1265.863,1239.905,1265.863,1431936000
2006/8/16,1266.821,1283.567,1262.537,1283.567,2080274300
