日期,开盘价,最高价,最低价,收盘价,成交量
2006/1/3,2216.6,2249.68,2189.91,2243.74,1084518912
2006/1/4,2246.79,2265.28,2246.07,2263.46,1059302848
2006/1/5,2265.45,2277.56,2264.5,2276.87,1020509056
2006/1/6,2289.87,2306.72,2281.01,2305.62,1273206784
2006/1/9,2307.85,2322.63,2303.13,2318.69,1105739520
2006/1/10,2306.54,2320.32,2303.93,2320.32,1074339968
2006/1/11,2321.54,2332.92,2316.49,2331.36,1310779392
2006/1/12,2327.01,2330.31,2313.22,2316.69,1103753088
2006/1/13,2318.27,2321.7,2308.16,2317.04,1009471680
2006/1/17,2302.91,2305.87,2294.05,2302.69,975935296
2006/1/18,2265.94,2285.94,2264.08,2279.64,1246465536
2006/1/19,2291.92,2311.71,2289.82,2301.81,1322565120
2006/1/20,2300.51,2300.73,2245.2,2247.7,1208762624
2006/1/23,2254.11,2256.24,2241.02,2248.47,1181464064
2006/1/24,2256.13,2269.44,2256.03,2265.25,1651964288
2006/1/25,2275.84,2275.84,2253.06,2260.65,1718561920
2006/1/26,2275.14,2284.07,2264.85,2283,1892434432
2006/1/27,2293.49,2314.36,2289.47,2304.23,1797392256
2006/1/30,2306.09,2313.98,2304.75,2306.78,1560104832
2006/1/31,2305.62,2311.83,2292.95,2305.82,1864090112
2006/2/1,2293.4,2311.57,2292.23,2310.56,1816789760
2006/2/2,2306.24,2308.05,2277.3,2281.57,1803914240
2006/2/3,2268.46,2274.62,2255.99,2262.58,1737342976
2006/2/6,2263.86,2265.81,2249.75,2258.8,1423410432
2006/2/7,2255.89,2265.54,2239.51,2244.96,1690009472
2006/2/8,2261.32,2268.72,2246.98,2266.98,1717191040
2006/2/9,2274.73,2284.52,2254.26,2255.87,1844705536
2006/2/10,2255.12,2266.44,2235.41,2261.88,1585889920
2006/2/13,2251.14,2254.31,2232.68,2239.81,1302988288
2006/2/14,2243.88,2266.82,2237.47,2262.17,1416629376
2006/2/15,2259.52,2277.13,2255.1,2276.43,1413143040
2006/2/16,2282.46,2294.63,2278.06,2294.63,1525938176
2006/2/17,2292.78,2292.78,2279.63,2282.36,1511399424
2006/2/21,2283.57,2284.82,2256.75,2262.96,1363888000
2006/2/22,2265.59,2287.99,2259.17,2283.17,1448337792
2006/2/23,2279.49,2293.74,2271.82,2279.32,1409870336
2006/2/24,2278.62,2287.86,2272.78,2287.04,1242855168
2006/2/27,2291.91,2313.53,2291.24,2307.18,1374260224
2006/2/28,2300.55,2305.62,2276.74,2281.39,1654839040
2006/3/1,2288.84,2315.95,2285.64,2314.64,1768142976
2006/3/2,2305.8,2316.93,2299.76,2311.11,1619347072
2006/3/3,2298.83,2324.92,2297.09,2302.6,1850394240
2006/3/6,2306.42,2309.51,2281.37,2286.03,1661719680
2006/3/7,2279.68,2280.08,2259.64,2268.38,1479127552
2006/3/8,2261,2275.13,2248.65,2267.46,1638012928
2006/3/9,2272.22,2279.28,2249.56,2249.72,1504716288
2006/3/10,2251.96,2266.99,2239.54,2262.04,1320056576
