日期,开盘价,最高价,最低价,收盘价,成交量
2006/1/2,1383.32,1389.27,1370.61,1389.27,396300000
2006/1/3,1393.14,1394.92,1376.17,1394.87,541278976
2006/1/4,1408.19,1412.15,1400.08,1402.11,527991008
2006/1/5,1405.31,1405.31,1378.96,1395.51,538070976
2006/1/6,1399.23,1412.79,1395.26,1412.78,587865984
2006/1/9,1421.9,1421.9,1405.05,1408.33,531484992
2006/1/10,1413.14,1417.84,1388.7,1396.29,476499008
2006/1/11,1394.65,1400.3,1384.27,1394.09,534599008
2006/1/12,1399.64,1411.82,1399.04,1402.58,447862016
2006/1/13,1397.15,1416.28,1388.15,1416.28,418900000
2006/1/16,1423.08,1425.05,1409.53,1421.79,402104000
2006/1/17,1423.76,1426.21,1389.51,1389.58,473736992
2006/1/18,1378.73,1379.46,1333.75,1352.91,567080000
2006/1/19,1357.32,1367.53,1347.97,1360.64,408111008
2006/1/20,1368.85,1377.59,1321.96,1324.78,528393984
2006/1/23,1307.4,1327.26,1285.63,1297.43,534800992
2006/1/24,1307.36,1328.32,1292.84,1326.83,540136000
2006/1/25,1339.36,1353.32,1335.8,1342.59,510688000
2006/1/26,1349.48,1352.84,1329.65,1352.75,367816992
2006/1/27,1369,1384.56,1363.12,1384.56,469534016
2006/1/31,1391.51,1403.3,1381.75,1399.83,406454016
2006/2/1,1390.43,1398.19,1366.56,1375.97,469703008
2006/2/2,1387.5,1389.55,1357.71,1374.44,449616000
2006/2/3,1357.17,1362.37,1330.68,1333.5,444564000
2006/2/6,1326.23,1342.21,1307.77,1341.64,378537984
2006/2/7,1340.84,1348.24,1329.6,1332.28,349784992
2006/2/8,1325.68,1344.38,1308.87,1310.99,356996992
2006/2/9,1326.87,1329.46,1313.82,1321.66,348014016
2006/2/10,1328.41,1338.33,1314.94,1335.23,356353984
2006/2/13,1338.7,1338.96,1310.37,1320.79,351460992
2006/2/14,1315.14,1330.05,1303.19,1328.21,286697984
2006/2/15,1342.28,1342.4,1300.76,1303.84,419995008
2006/2/16,1308,1320.1,1299.73,1314.32,312832000
2006/2/17,1325.49,1333.83,1315.25,1332.73,283771008
2006/2/20,1336.01,1357.73,1329.45,1348.25,385414016
2006/2/21,1350.45,1352.17,1339.2,1346.49,385044000
2006/2/22,1344.9,1356.76,1324.4,1340.58,363828992
2006/2/23,1348.51,1362.03,1346.69,1361.23,341971008
2006/2/24,1363.73,1366.71,1352.76,1365.82,329356000
2006/2/27,1365.41,1374.89,1360.46,1374.88,302259008
2006/2/28,1377.44,1379.71,1363.93,1371.59,296104000
2006/3/2,1377.46,1379.3,1367.68,1367.7,405524000
2006/3/3,1365.35,1367.17,1325.59,1328.95,339815008
2006/3/6,1332.71,1344.77,1324.39,1344.76,300003008
